TEXT;SENTIMEN
 gue mas nge qrt gak setuju kontrol data peduli lindungi pro liberty ntapi udah ribuan orang mati special case gue berharap peduli lindungi ditutup gak wajib pandemi selesai ;Negatif
 bedanya kominfo masuk ranah privat dimana aturan applied beda peduli lindungi ;Negatif
 aaa nangis peduli lindungi salah ;Negatif
 beda peduli lindungi mengontrol data aplikasi nkominfo mengontrol data indonesia ngak beda ;Negatif
 peduli lindungi aja fanatiknya ;Negatif
 udah gitu peduli lindungi cakupannya consent data aplikasi peduli lindungi nkominfo memaksakan akses data perusahaan privat peduli consent pengguna nmaaf analoginya gak ;Negatif
 aya oge can  teu check out nbisa wae eta mah kasusna siga sertifikat can  sertifikat peduli lindungi geus aya ;Positif
 kalo alasannya hidup mati layak dinormalisasi banget tuh yah ngontrol data penduduk nkeren banget yah emang peduli lindungi ;Negatif
 butuh peduli lindungi butuh peduli sayangi ;Positif
 gak apple apple whataboutism bgt peduli lindungi obrolan privacy hidup mati orang nkominfo gak pegang data orang mati ;Negatif
 udah  peduli lindungi udah sertifikatnya daftar  belom ;Positif
 salah pake peduli lindungi ;Negatif
 udah main game pemerintah aja nmypertamina gasoline simulator npeduli lindungi survival rpg ;Negatif
 mall  deh kalo peduli lindungi nya caution pas check ;Positif
 akuu mbak vaksin sinopharm krn muncul peduli lindungi ;Positif
 sampe pake peduli lindungi ajg ;Negatif
 senayan park anime masuk mall check peduli lindungi anime riill ;Positif
 mbaa spss nginstall peduli lindungi aja manggil staff    klo pejabatnya berkompeten klo pejabatnya berkompeten ilmunya enak sih belajar ;Negatif
 login steam pake peduli lindungi ;Negatif
 konfirmasi dri peduli lindungi memberitahukan suami status vaksinya gagal mngkin tdak lempar kesana kemari ;Positif
 suami suruh menunggu utk suntik  ketiga konfirmasi peduli lindungi tdk solusi maaf ;Positif
 komplain perubahan peduli lindungi suami rubah status ;Negatif
 aplikasi peduli lindungi tdk notice vaksin suami cdo vaksin kdua suami bsa smpe terbit sertifikat vaksin peduli lindungi muncul ticket vaksin  klo emg ;Negatif
 uner program vaksin  bem unair polda jatim sertifikat vaksinnya udah peduli lindungi belom punyaku belom trus statusnya peduli lindungi vaksin udah ;Positif
 sertifikat suami terbit menunggu smpe jam sore mencoba menghibungi call center peduli lindungi petugas memberika konfirmasi utk tunggu smpe besok pagi kalo blm terbit blm tlp ;Positif
 amann gak scan scan peduli lindungi vaksin dosis amp;Negatif
 railmin menyesalkan kejadian mengakibatkan perjalanan terlambat berangkat kak ndalam rangka memperlancar proses pemeriksaan dokumen boarding kai mengintegrasikan ticketing system aplikasi peduli lindungi ;Negatif
 boro diperiksa peduli lindungi erpot xef ;Negatif
 sertifikat ku sampe aja muncul uda email peduli lindungi ktanya diinput disuru hubungin faskesnya vaksin  dadakan dprd disuru dateng senior drg dinkes mumpung slot sisa ;Negatif
 nik upami  acan suruh nunjukin peduli lindungi ;Positif
 beluum cek peduli lindungi lokasinya aja daftar ;Positif
 biru kuning kiss hug marry peduli lindungi sabarr ambis kadang bahagia beneran fek ;Positif
 kalo tawaran  maunya pfizer moderna  nbtw mentemen vaksinnya gotong royong sinopharm kendala gak sih pas  kaya gak vaksin muncul sertifikatnya peduli lindungi ;Positif
 berangkat jam pagi motor kena macet ujan ujanan sampe utbk basah kuyup pas masuk gedungnya gabisa scan peduli lindungi hubungin ayah gua nungguin kuota nya gabisa dipake sampe situ aja utbk ;Negatif
 temenku berani  karna hamil peduli lindungi udah dapet sertifikat nya polres bandung ;Positif
 budak masok gaia scan peduli lindungi agik ;Positif
 mall  cuman gabisa peduli lindungi karna disitu tulisannya  satpam gappa suruh masuk aja ;Positif
 pake peduli lindungi gak klo butuh pengawal ;Positif
 biar warna ijo peduli lindungi gandaria city jakarta selatan dki jakarta sahal_fahmi ;Positif
 inilakhh tanda kebodohan kedunguan aplikasi penyelenggara aplikasi developer secarq kai nharusnya khan order tiket otomatis syncron peduli lindungi kagak check out kalo red flag njadi kagak bikin susah orang ;Negatif
 kabar kebocoran data peduli lindungi pengguna kompensasi diwajibkan aplikasi mempercayakan data aplikasi kebocoran data akibat kesalahan desain sistem aplikasi ;Negatif
 hahaha gitu bilangnya peduli npeduli lindungi ;Negatif
 scan peduli lindungi nya kak kartunya better dibawa jaga jaga ;Positif
 thankyou klo salah wkt masuk venue nunjukin setifikat vaksin dicetak peduli lindungi ;Positif
 masuk aja langsung tinggal scan peduli lindungi ;Positif
 bdg padet banget min pas boarding petugas lihat tiket ktp sampe detik udah nyalain peduli lindungi kalo gubeng tiketnya udah dicetak vaksin petugas ngeceknya menit ;Negatif
 lupa curi data pendduk warga aplikasi peduli lindungi ;Negatif
 gua mati trs hmpir gabisa msuk karna scan peduli lindungi gua bawa kartu vaksn  ;Negatif
 dibaca mas peraturannya gimana pemerintah data privasi pengguna mas data privasi pemerintah pegang data bpjs peduli lindungi aja data bocor kemana sms penipuan chat random data ;Negatif
 peduli lindungi gue gabisa dibuka panik mampus ahahaha untung kartu vaksin ;Negatif
 tangan gemeter banget pas scan peduli lindungi sampe mas nya bilang santai aja mba gak gugup ;Positif
 parpol protes kebijakan pengetatan covid penghapusan peduli lindungi dulang suara tuh akar rumput terdampak kebijakan sayang oposisinya bapuk peluang ;Negatif
 vaksin  daftar antri ditensi trs iseng cek peduli lindungi sertifikat  udah aja emang gitu ;Positif
 peduli lindungi release sebulan data bocor dijual darkweb website pse seharga triliun tanggal juli kemaren diretas teknik hacking gampang ganti session masuk admin kotak katik database ;Negatif
 acha cwok kren suka cerita cerita gibah acha pedulian kayak peduli lindungi nojen kcj nya hazen acha pemberani tau ngambil keputusan sngatkren protectacha ;Negatif
 kwkw tai bat emg bpjs ama peduli lindungi ;Negatif
 peduli lindungi nage rada rada pron nloba anu acan  meunang sertifikat ;Negatif
  lolos brati konek peduli lindungi tiket via persib apps teh ;Positif
 peduli lindungi blokir aja gak banget aplikasinya gapernah event event seru pengguna nya ;Negatif
 nunggu tiket peduli lindungi vaksin kah ;Positif
 aplikasi peduli lindungi dikembangkan telkom terbukti berkontribusi penang covid bersinergimembangunri ;Positif
 loh mas bikin steam urung mendaftar pasal ampas data peduli lindungi aja bocor ;Negatif
 gara gara liat peduli lindungi masuk gedung ;Positif
 pasal ayat ampas data peduli lindungi aja bocor ;Negatif
 gak dicek pake peduli lindungi ;Positif
 berlagak mahasiswa aja kemaren langsung scan peduli lindungi udh masuk gitu aja ;Positif
 gak sih proses screening via hape aja usa redeem biar cepet nya aja butuh verifikasi cakap hape thus aplikasi ticketing mesti canggih proses cek dkk via hape aja peduli lindungi ;Negatif
 kanggo nggo peduli lindungi ;Positif
 silakan kakak menunjukan sertifikat vaksin scan code aplikasi peduli lindungi tap gate terima kasih ;Positif
 peduli lindungi gue knp sih check gagal teruss  ;Negatif
 kalo engga  nnti peduli lindungi nya merah kak tetep masuk satpamnya ;Positif
 aplikasi peduli lindungi dikembangkan telkom terbukti berkontribusi penanganan covid bersinergimembangunri ;Positif
  kudu pake surat vaksin klo ilang pke apk peduli lindungi bole coo punyaku ilang ;Positif
 wkwkw susah ngomong orang mindset boomer gini gaptek kek orang jaman megalitikum steam koneksikan rekening kartu debit utk pembayaran dana hape dll dipikir jaga data nik history kesehatan peduli lindungi aja becus ;Negatif
 ngikutin aturan nyeleneh baca isi permennya aja ngintip data privasi orang bertahun data pengguna aman diserahkan pemerintah jaga data masyarakat peduli lindungi aja becus ;Negatif
 aplikasi peduli lindungi aja udah melanggar privasi loh vaksin udah dinyatakan vaksin data ktp dipakai data dipakai langgar hak privasi ;Negatif
 peje peduli lindungi xab  kue tete pesenan ;Positif
 throwback xef xbd xcb xea xab nsunday july nso family and went ikea scan peduli lindungi gabisa masuk  bintaro lol ;Negatif
 telkom membuktikan berfungsi aplikasi peduli lindungi terbukti membantu bersinergimembangunri ;Positif
 aplikasi peduli lindungi terbukti berkontribusi penanganan covid bersinergimembangunri ;Positif
 bersinergimembangunri aplikasi peduli lindungi dikembangkan telkom terbukti berkontribusi penanganan covid ;Positif
 aplikasi peduli lindungi terbukti berkontribusi penanganan covid_ bersinergimembangunri ;Positif
 udah kayak peduli lindungi bund ;Positif
 masuk kudu checkin peduli lindungi ;Positif
 peduli lindungi xaa ;Negatif
 make paytren kak ato peduli lindungi ;Negatif
 hulu sia tah pituker jeung kunjat samaruk arurang tarolol marake baceo deuk ngalidungan data arurang tah data peduli lindungi geus balalocor sarua jiga hulu sia bocor eweuh eusian matak bajer ;Negatif
 tau fungsinya kominfo ngumumin berita kopit peduli lindungi ikutan pake hesteg dahlah dah wakilin berharap fix psti kecewa eneg negara ;Negatif
 gaungkan stop pemakaian peduli lindungi alat pemaksaan vaksinasi  vaksin dosis diwajibkan masuk sistem peli manut lucu fafifuwasweswos perlindungan data pribadi ;Negatif
 statement mulut kominfo data curi gimana hah percayain karna ngelola peduli lindungi aja ;Negatif
 menurutku esensinya wokwowk landasannya ngejaga privasi keamanan data masyarakat indonesia gmn kabarnya kebocoran data app peduli lindungi kemarin wkwkw ;Negatif
 blokir aja boss sisain mypertamina peduli lindungi chakksszxx  ;Negatif
 haloo data ktp pas masuk perpusnas aja kaya scan peduli lindungi ;Positif
 kepikiran buruk tolong lindungi buruk kepadaku kirim orang orang mengerti peduli naku benci suka orang berusaha menjerumuskan kedalam buruk temanmu ;Negatif
 sediakan peduli lindungi ;Positif
 oalahh dah ketat banget mallnya bener kalo  gabisa check app peduli lindungi ;Positif
 google bikin produk pake produknya gratis bayarnya pake data pribadi kominfo emang bikin produk peduli lindungi mah pake krna terpaksa ;Negatif
 peduli lindungi diblokir aja peduli melindungi usless aplikasinya ;Negatif
 selamat malam kendala peduli lindungi silakan boarding kakak tunjukkan bukti sertifikat vaksin bentuk fisik ;Positif
 yaahh ngomongin monopoli data ngurusin data peduli lindungi aja blm bener ;Negatif
 mengutuk gue pake dress dalem ati bang raditnya liat kali nternyata aja deh plot twist nsampe usmar ismail gue tukerin tiket dicek peduli lindungi sertifikat vaksin antri masuk ;Positif
 gue setuju peduli lindungi aja diblokir ;Negatif
 peduli lindungi cicak ;Positif
 ampe kali  rabb yha capek bangat aja masuk peduli lindungi mulu ;Positif
 bgt pantai full bgtt sampe aplikasi peduli lindungi org lbh ;Negatif
 sori menutup suka gambar comis via paypal dagang voucher steam dll jujur percaya steam megang data drpd kominfo tokopedia kemarin peduli lindungi aja jebol network securitynya bagusin ;Negatif
 data takut bocor woi telor data peduli lindungi aja bocor sampe data presiden konyol ;Negatif
 daritadi buka twitter kepencet peduli lindungi ;Positif
 azka gapunya muka npasti skrg mukanya kosong kasian mmberi koin peduli lindungi azka ;Positif
 data bocor sengaja sengaja bocorkan ;Negatif
 paham respons nya krn dengar paypal blokir sndiri was ntapi stlah dngar klo pemblokiran mengganggu uang masuk paypal dana paypal aman sdkit lega nterkait info data pribadi bocor lbh memilih informasi lbh ;Negatif
 kukira bocor data penduduk ;Negatif
 yah data mah bocor kemana sih bullshit dibilang pse jaga data pengguna internet bocor ;Negatif
 asli nyebelin emang piy ntapi syukurnya bantuin war bocor data nya nsoalnya liat twt bnyk bocor datanya ampe pas data orng ;Negatif
 tugas wajib pse asing menjaga data pribadi masyarakat indonesia memakai sistem njadi nuntuk pengguna pse data pribadimu bocor publik lantas menyalahkan membabi buta ;Negatif
 tuh database hasil beli tau alias data bocor ;Negatif
 juta data pengguna dilaporkan bocor twitter ;Negatif
 pengen cerita data salah marketplace bocor org akses akun alie xpress amp;Negatif
 datanya keganti nggu gajadi untungnya data sampe bocor security nya gmn sekelas ket loh ;Negatif
 gua tutup ajadeh data gini bocor ndan kerja bener deh day ticketing ampe general gini gabener ;Negatif
 murzz tiketcom bocor kah data penggunanya ;Negatif
 kayak kalo data indo aja kaga bocor aja pfftt meh ;Negatif
 hahaha siswi konsultasi lbh lbh cari data rilis bocor hehehe lanjutkan narasi masjo pray nya jaja hehehe ;Negatif
 contoh betapa senangnya rakyat malaysia diperbodohkan data peribadi perdana menteri malaysia bocor bocor cybersecurity jilat jilat ;Negatif
 ngak heran bang data identitas rekaman sidik jari plus kornea mata aja bocor ;Negatif
 twitter mengumumkan menambal celah keamanan buntut bocornya data juta pengguna dijual forum hacker senilai juta ;Negatif
pdahal trakir bpjs kesehatan juga bocor data;Negatif
 makany kgk suka data asli lengkap dny data asli bocor nmales bgt sumpil otak gini ;Negatif
 ktp aja benerin data pribadi biar bocor gmn ;Negatif
 suka dichat org promosi sapanya pake nama username kupake akun tokped nketauan bocor data ;Negatif
 data bocor kenalanmu pake ;Negatif
 syalan ngisi pertalit spbu hrs bawa data pribadi data kendaraan ter catat rapi smg tdk bocor salah ;Negatif
 ritu menteri tah cakap takda ancaman pasal bocor data peribadi ;Negatif
 twitter tambal celah keamanan data juta pengguna bocor ;Negatif
 pemerintah aja maksa vaksin pake aparat pake anceman diskriminasi pdhl bocor data peli pemaksaan sekolah izin ortu main njus aja dipaksa pelanggaran ham ;Negatif
 oke gunanya menyelesaikan ntolong donk data bocor ;Negatif
 bused teror orang coba masuk akun notifikasi kode otp telkomsel data bocor kah gimana ;Negatif
 barang berati data pribadi bocor bilang trus gimana kak nya bilang pelaporan barang tsb milik menyalahgunakan ;Negatif
 what the fcuk nsemenjak kejadian bocor data duit gua ketarik google play amazon gua udah langsung uninstall males nabung bank penuh oknum penipuan ;Negatif
 ironisnya fanboynya meromantisasi ancaman pencurian penyalahgunaan data pribadi cuy perbuatan romantis serius kalo data bocor kagak romantis romantisnya ;Negatif
 mcm kitorang personal data dah bocor dlt call scammers ;Negatif
 udah keduluan menyelam kedunia gak pinjaman data bocor pakai aplikasi sesuai ojk ;Negatif
 kebanyakan orang terkenal orang kaya hidup hancur data privacy jatuh tangan orang jahat ndan negara hadir membela ikutan narik data ujungnya bocor ;Negatif
 daftar bank bank milenial dsb masi rentan data bocor nyhaa walopun bank biyuemn bank swasta rentan risikonya lebi ;Negatif
 ngasih foto ktp kalo terpaksa kasih watermark kirim orang kalo data ktp bocor ketauan bocor nya dimana watermark gaes ;Positif
 verifikasi digital pake foto selfie ektp mending dilarang ojk dah data digital gini gampang bocor dijualbelikan digunain gini minimal pake materai basah basah sidik jari ;Positif
 data masyarakat aja bocor sok cari data lawaknya negri wakanda blokirkominfo btstokopedia pesulapmerah ;Negatif
 juta data pribadi milik warga india bocor internet ;Positif
 twitter konfirmasi kebocoran juta data akun pengguna mobitekno juta data pengguna twitter bocor akibat munculnya celah ;Negatif
 bisanya data nik bocor dipake orang daftar npwp kantor pajak meloloskan namanya beda ;Negatif
 twitter tambal celah keamanan bikin data juta akun bocor ;Positif
 twitter celah berasal pembaruan kode pertengahan twitter password pengguna aman ;Positif
 penipuan mengatasnamakan shopee cashback juta rupiah ndata akun shopee bocor username nama lengkap saldo shopeepay pelaku member gold shopee penipuanshopee datashopeebocor ;Positif
 data shopee bocor kak ketipu jutaan  ;Negatif
 barusan banget ditelepon nomor mengatasnamakan yaa data nasabah bocor gitu aja heran ganggu banget senin nelpon gue dengerinnya ;Negatif
 bener takut kalo daftar akun gituan takut bocor data  ;Negatif
 twitter klaim diretas data juta pengguna diduga bocor ;Negatif
 berita dibawah nklean peraturan pse napa iya twitter blok pura pura tau nheadline news data pribadi bocor aturan pse blokirkominfo blokirgapakemikir ;Negatif
 judi onlen data bocor gmn nomer gue ;Negatif
 twitter diretas juta data pribadi pengguna bocor ;Negatif
 udah izin nomor sellernya privacy policy kah nkalau gue request hapus data seller gimana ndisimpan aman kah bocor dijual pinjol ndatanya akses aja nada audit akses datanya ;Positif
 serem emang data bocor hhm kadang jahilin sih sampe maki suruh ngel wkwk ;Positif
 nunuk suryani membantah data kemendikbudristek bocor data dipertanggungjawabkan kebenarannya produk kemendikbudristek nunuk pemerintah penempatan guru lulus ;Positif
 trukah xaa nato modus operandi pegang data bocor ;Negatif
 penyelenggara larangan sistem apapun nyang cuan masuk hadeh nheh personal data orang kalo bocor gimana woy kesel banget asli ;Negatif
 jdi ktika khawatir datamu bocor jalan pencegahan terbaik membagikan data takut data facebook bocor gak bikin akun facebook klo suka mencegah ;Negatif
 lupa cek emailnya udah kena bocor data via ;Negatif
 minn please baca internal data bocor kah tolong telusuri lbh please kalo tindak pidana krn fraud ;Negatif
 parah kasih penjelasan engga data nya bocor gimana ;Negatif
 data bocor aja gak gegayaan bikin search engine ;Negatif
 please viral biar malu tuh beli nyediain jasa biar tindak tolong diusut uda make bot data org bocor gimana dah sekelas tiket ;Negatif
 gimana nih liat kode orang loh kejadian data leakage gini layak gini aja bocor gimana keamanan data data kalo pesen tiketdotkom nomor ktp ;Negatif
 deki berbicara dokumen bocor nsaluran ukraina mendiskusikan data bocor staf afu afu selesai ;Positif
 gue kasi nomornya ntar gue dikejer platform medsos pokoknya hati hati aja deh data data ditaruh medsos mudah bocor ;Negatif
 emg jamannya data medsos bocor nwhatsapp privacy app keluarga temen temen aja tau nomor gue chat anehnya kemarin pagi nomor asing chat gue salam doang ;Negatif
 data usernya bocor ;Negatif
 oohh iya deng ngehnya kalo udah janjian gitu kalo gabisaa kecuali kalo data pemegang membshipnya bocor ;Negatif
 percaya data bocor kominfo spurs juara ;Negatif
 dpt bnyk ilmu malem xba ndijabarin risiko data bocor tips aman inet hrus teliti smuanya sndiri sejarah smpe kerja udh mash bnyk lgi nbisa tonton ulangannya ;Positif
 data pribadi bocor gak ditarik diganti sdh melekat indvidu seumur hidup nbahas keamanan data pribadi digital literasi olh mas jaringan detil dijabarin langsung pakarnya ;Negatif
 konsepnya keren aman datanya gampang bocor risikonya bayangin data kumpul nasional app bocor that the last thing want right ;Negatif
 kalo emang host event gede gini persiapannya sampe kek bot data code memship bocor ;Positif
 kalo data pemerintah dihack udah bocor data data nya ;Negatif
 bodo data bocor nkita small fries gak kena kena mampus ;Negatif
 mitigasinya data bocor nlangkah langkah konkrit data tsb disalah bocor nbukan aturan pse blokir blokirkominfo ;Negatif
 kominfo google data pribadi bocor ;Negatif
 sayangnya terbukti kekhawatiran gue ketiga dipake pedulilindungi gue udah ngga pake takut data bocor aplikasinya dikasih akses ketiga xba xef ;Negatif
 lindungin data biar gak bocor nudah ngetweet kipopan aja wkwk ;Negatif
 sebenernya kebocoran data gak hindari sih bumn jga data bocor gampang celah tangan blackhat ;Negatif
 lihat respondnya toped twitter handle tau plus email xef njika kebocoran data bocor twitter handle amp;Positif
 ulang gais data bocor  ;Negatif
 hallo nada iseng nih nko tau rekening bri nsemoga data bocor ;Negatif
 aplikasi dihapus gak gunanya data presiden bocor aplikasi menimbulkan diskriminasi masyarakat ;Negatif
 gak percaya kominpo ngerti security informasi sengaja sih klo sengaja jahat banget gak jarang dengar data privacy bocor dijual darkweb dll lembaga sihh ;Negatif
 yeap this what mean daftar kartu prabayar make nomor seinget gua alasannya perlindungan data nomor bocor admin slot pinjol judi blokirkominfo psemelanggarham batalkandnsnasional humanrightsviolations ;Negatif
 hati yaa skrng klik link bocor data ;Positif
 tenang data dikirim diterima device udah https data terenkripsi transit nggak data bocor data ditampilkan client bentuk unencrypted ;Positif
 lazada data bocor percobaan kuras saldo rek ;Negatif
 sok sok bkin search engine data aja bocor ;Negatif
 data bocor gpp berbahaya data tsb disalah ncontoh mitigasinya ndata bocor internal bank rekning saldo ketauan nsaya dirugikan tau data bocor menarik saldo kartu atm ;Negatif
 keywordnya data aman nini ambigu sistem aman data bocor faktor orang serangan cyber ;Positif
 mendengar statement nberani jamin data aman ancaman cyber nomong kosong data aman ncepat lambat bocor pse berusaha semaksimal blokirkominfo ;Negatif
 penipuan mengatasnamakan shopee cashback juta rupia ndata akun shopee bocor username nama lengkap saldo shopeepay pelaku member gold shopee shopee cashback juta ;Positif
 menteri ndakik ndakik nhal fundamental kayak keamanan cyber diperkuat data orang kontra pemblokiran aja bocor kmana ;Negatif
 pake vpn tuh data bocor ;Negatif
 sebenernya bingung keluhan npertama amp;Negatif
 ngalamin ditelepon nomor mengaku nkhawatir sih saldo shopeepay aja orang nentah data bocor mehehe ;Positif
 positif gue cashback data udah bocor kemana ;Negatif
 data gua bocor coba sembarangan ngisi apapun ;Negatif
 halah perlindungan data palamu peang aja data bocor serung banget maaf udahny udah dijual data orang dalem humanright blokirgakpakemikir blokirkominfo ;Negatif
 gak pake vpn aja data udah bocor duluan ;Negatif
 yah data gak pake vpn aja udah bocor takut ;Negatif
 mohon kedubes huahauahah daftar pembelaan fanboy pse asing gak daftar kominfo gak jaga data gak bocor udah gak daftar kena blokir kedaulatandigital ;Positif
 bentar tau kalo elu pendek cebol dsb nemang iya kalo iya data kominfo data privasi bocor nih orang blokirkominfo ;Negatif
 data bocor area bali teman menerima scam nmohon tindak xbd ;Negatif
 pinjolilegal ndan pinjaman aplikasi dana hiu samsek gaada minjam aplikasi boro boro minjem aplikasinya aja gaada diplaystore data bocor makannya orang berusaha nipu ntolong ;Positif
 jujur gue takut bnget menghadapi resikonya bnget kena penipuan sampe sampe data pribadi bocor dsini karna kehendak semesta jdi skrng kekuatan semesta menyertai ;Negatif
 sempet rame data toped bocor ngehack dah ketangkep ;Negatif
 kasian rakyat udah privacy data bocor gak dibayar ;Negatif
 data udah bocor duluan   ;Negatif
 bilang data bocor data rakyat bocor kominfo diam ;Negatif
 takut data bocor daftar fanboy pse asing ;Negatif
 data bocor ;Negatif
 not gonna invalidate your feelings but insight save nomor orang nama lengkap keluarga alasannya data hape bocor orang meretas kesusahan cari hubungan ;Negatif
 slah tool nya adlh aplikasi peli udijadikan chip mengontrol populasi manusia khusus nya negeri tdk jaminan data base bocor ;Negatif
 pura pura gatau data emang udah bocor ;Negatif
 orang nipu emang aneh modusnya modus dimasukin group gitu dikirimin surat karna data bocor masukin kontak berurutan nomornya ;Positif
 data pribadi warganya bocor sampe dpt sms iklan berkali kali bertanggungjawab negara bayar ganti rugi donk ;Negatif
 wkwkwkwk kalo sih fix nipu xef xef tau alamat kantor bocor banget data terbarumu ;Positif
 waspada data pribadi bocor masuk penjara ;Positif
 bocor gak media menyerang gencar data istilah keterbukaan informasi publik ;Positif
 terlepas karna ditempat ntapi budaya memvideokan orang nyebar medsos udah meresahkan npantes aja kominfo gitu data bocor karna warganya hobby banget melanggar privasi orang ;Positif
 baca file ppk syok parah masak penempatannya pulau ahh sbnrnya hoax data bocor ;Positif
 udah bagus dibubarin ganti outsourcing ntar proyek aplikasi data honorer ntar bocor bocor ;Positif
 data rakor bocor ;Negatif
 noh kerjanya kom info mega korupsi ditambah data ktp bocor data ktp dijadikan jaminan pinjol ;Negatif
 emg sadar kominfo ngurusin data apps negeri aja mash bocor awoawoakwok anggaran bnyk nyewa consultant kek ;Negatif
 seller udah kena potongan sekian persen biaya layanan biaya transaksi npadahal kompensasi data bocor nih transfer gitu ;Negatif
 sekelas yahoo bing aja udah kalah napalagi wkwkland dimana ktp fotocopy nminimal urus data udah bocor kaya data ktp hac data pasien copet kemarin ;Positif
 rakyat negara juta juta data peribadi bocor mcm ;Negatif
 udah good vibes sakit tetiba data bocor kek gitu nlemes bestie  ;Negatif
 indonesia perlindungan data pribadi nkita taruh data data disalahgunakan nmakin ribet kominfo pendaftaran pse menuntut akses sistem data elektronik pse napa data gak bocor ndgn buzzer ;Negatif
 sungguh nggak lucu dipakai utk daftar nomor sim card dipakai buzzer fake account nlantas buzzer pakai nama comot foto profil nketika kirim melanggar hukum nggak dicari berwajib ndata bocor ;Negatif
 hhhmm bener daftar pse data bocor ;Negatif
 big data pusat data nasional data bocor golden data aja berantakan ;Negatif
 gak game iron source ngisi survey dpt iphone gak gue lakuin takut data gue bocor ;Positif
 yoi pakai analoginya kemenkominfo gitu orangtua anak ham ham apasih pemerintah data bocor dimana aja tutup mata telinga ;Negatif
 nggak bertele bacot pnting nwaktu data bocor terima kerugian ;Negatif
 yayasan trudeau memiliki acuitas therapeutics lipid nano mekanik pfizer vaksin mrna ndr malone membongkar konflik kepentingan investor membuang stok pfizer moderna data keamanan vaksin sebernarnya bocor ;Positif
 laporin aja biar kapok anjir dasar warga wakanda tau privacy data data bocor diem diem aja ;Positif
 gue takutnya nomor data bocor gitu shil ;Positif
 isu nya privacy iphone nkita data bocor setakat mesej clhdn telefon bagitau ccukai tertunggak ;Negatif
 mikir percaya kalo pendaftaran pse lindungi data pribadi bocor kemana ;Positif
 ribut ribut pse bikin sanggup serch enjin lokal bikin game store apalah apalah anak bangsa bahas data kpu bocor ;Negatif
 amerika perusahaan bocorkan data dituntut penggunanya menang ribuan dollar orang ndi indo data ktp bocor data paspor bocor data kesehatan bpjs bocor gak bayar ;Negatif
 mysejahtera dah habis data bocor ;Negatif
 sampean tau dampaknya data pengguna bocor sampean bacot mulu sepertinta research deh coba nambah ilmu jgn nambah duit mulu buzzer ;Negatif
 security video footage entry exit point negara bocor semudah wonder data senang bocor scam message ;Negatif
 kalo data orang internet bocor bahas the private eye episode minggu kejadian loh  ;Negatif
 juta data peribadi bocor ;Negatif
 kebocoran data peribadi berdasarkan catatan rekod kementerian ;Negatif
 kalo cape ngedebat kasih aja link berita data bocor dijual bebas kalo dikit oknum kasih liat txtdrberseragam noh oknumnya nambah ;Negatif
 emang dirugikan pas data kependudukan bocor nyaa lihat aja ntar paypal menghormati indonesia nggak kalo daftar ;Negatif
 nomer asing data bocor ;Negatif
 sampean tau nggak sih permasalahannya sumpah deh data kependudukan bocor publik dijual black market sampean ngarep platform keuangan setuju berbagi data kominfo ;Negatif
 data bpjs aja bocor data pengguna steam paypal ngantuk ;Negatif
 klo web resmi hoyoverse sih bocor klo emailmu nder emailmu email udh masukin data dimana klo data bocor email bocor kena cker akunmu pake email otomatis kena deh ;Negatif
 udah berita data peli bocor ;Negatif
 kalo kemkominfo teledor data pelanggan bocor bangke emg kementrian ;Negatif
 selamat data udah bocor dijual market place ;Negatif
 pse melindungi data warga ngejual data warga nyg kemaren aja bocor xbf ;Negatif
 kek gaada cape nya nyari pembelaan situ kaum kaum kominfo anggaran dana triliyunan cuman bikin blokir blokir ujung nya dibuka pake dnscrypt vpn kek wow mending duid ngejaga data wni data negara biar bocor ckckck ;Negatif
 poin bilang data internal emang dipegang pemerintah contohnya ktp nik pegang pemerintah data bocor salah oknum pemerintahannya pemerintahannya nggak salah data internal disalah korporat ;Negatif
 data udah bocor tau gak pake vpn ;Negatif
 lot has trust issue with menkominfo now napalagi kejadian data ktp bpjs bocor nhasil investigasi kemarin nwajar aja percaya ;Negatif
 curhat ndata nyokap gue bocor sampe daftarin pinjol akulaku diteror udh   ngue sampe sakit kepala telponin kali ngurus penutupan akun clear nunggu kerja untung tagihannya receh cuman abis udah pulsa amp;Negatif
 data bocor pakabar komingpo gapada pke vpn bocoor  ;Negatif
 ngapain pusing data pengguna bocor udh dibocorin pemerintah  ;Negatif
 kek gini keamanan siber urus data bocor tolol ;Negatif
 hak privasi gausah sok sok ngurusin hak privasi deh data bocor aja kominfo angkat tangan ;Negatif
 nggk fokus kemarin data bocor ;Negatif
 ngomongin menjamin keamanan data privat data bocor paslon pas pilkada tau dapet blasting nyebutin nama legkap ejaan blokirkominfo blokirgakpakemikir blokirpse psemelanggarham batalkandnsnasional ;Negatif
 halo sms mengatasnamakan uangme nomor hpnya personal uangme lgsg nama uangme sms nya dipertanggungjawabkan tdk data lender bocor ;Negatif
 data diakhirat bocor ;Negatif
 data dah bocor habis ;Negatif
 well gua percaya data gua dipegang paypal sih ama udah data masyarakat bocor ;Negatif
 kalo sampe data bocor tanggung ngga gitu aja sih ;Negatif
 ampun sih isinya cringe bgt wkwkwk nterlindungi apanya terlindungi data ktp aja bocor tangan pemerenta xab ;Negatif
 belom tau gara gara nis kayaknya sih bocor data gak tau darimana bocornya ;Negatif
 kalo data orang internet bocor niya aja nih mindan amp;Negatif
 urus data bocor udah kelar sih bikin proyek kalo proyek aja terkesan kaga becus ;Negatif
